home_0,home_1,home_2,home_3,Predicted_5th_Player
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker
Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker
Bruce Bowen,Jacque Vaughn,Matt Bonner,Michael Finley,Tim Duncan
Ime Udoka,Jacque Vaughn,Matt Bonner,Roger Mason,Tim Duncan
Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Shawne Williams
Bruce Bowen,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker
Bruce Bowen,Kurt Thomas,Roger Mason,Tim Duncan,Shaquille O'Neal
Bruce Bowen,Jacque Vaughn,Matt Bonner,Michael Finley,Tim Duncan
Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker
Kurt Thomas,Matt Bonner,Michael Finley,Roger Mason,Tony Parker
Ime Udoka,Kurt Thomas,Michael Finley,Roger Mason,Tony Parker
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker
Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker
Jacque Vaughn,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan
Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Shawne Williams
Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker
Ime Udoka,Jacque Vaughn,Kurt Thomas,Roger Mason,Manu Ginobili
Jacque Vaughn,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan
Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker
Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker
Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker
Kurt Thomas,Michael Finley,Roger Mason,Tim Duncan,Tony Parker
Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Shawn Marion
Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Shawn Marion
Amar'e Stoudemire,Grant Hill,Leandro Barbosa,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Leandro Barbosa,Matt Barnes,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Leandro Barbosa,Matt Barnes,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash
Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Steve Nash
Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Shawn Marion
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Matt Barnes,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash
Boris Diaw,Grant Hill,Leandro Barbosa,Matt Barnes,Steve Nash
Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash
Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash
Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Tyson Chandler
Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Tyson Chandler
Brook Lopez,Devin Harris,Jarvis Hayes,Vince Carter,Tyson Chandler
Brook Lopez,Jarvis Hayes,Keyon Dooling,Ryan Anderson,Sebastian Telfair
Brook Lopez,Chris Douglas-Roberts,Jarvis Hayes,Keyon Dooling,Travis Outlaw
Brook Lopez,Chris Douglas-Roberts,Jarvis Hayes,Keyon Dooling,Travis Outlaw
Brook Lopez,Chris Douglas-Roberts,Devin Harris,Jarvis Hayes,Jason Terry
Devin Harris,Jarvis Hayes,Josh Boone,Vince Carter,Trenton Hassell
Devin Harris,Jarvis Hayes,Josh Boone,Vince Carter,Trenton Hassell
Devin Harris,Jarvis Hayes,Josh Boone,Vince Carter,Trenton Hassell
Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Trenton Hassell
Bobby Simmons,Devin Harris,Sean Williams,Vince Carter,Stromile Swift
Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Trenton Hassell
Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Trenton Hassell
Bobby Simmons,Brook Lopez,Jarvis Hayes,Keyon Dooling,Sergio Rodriguez
Bobby Simmons,Brook Lopez,Jarvis Hayes,Keyon Dooling,Sergio Rodriguez
Brook Lopez,Jarvis Hayes,Keyon Dooling,Vince Carter,Sebastian Telfair
Devin Harris,Keyon Dooling,Sean Williams,Vince Carter,Quincy Douby
Devin Harris,Jarvis Hayes,Keyon Dooling,Sean Williams,Jason Terry
Chris Douglas-Roberts,Devin Harris,Jarvis Hayes,Sean Williams,Tyson Chandler
Eduardo Najera,Jarvis Hayes,Keyon Dooling,Ryan Anderson,Steve Blake
Brook Lopez,Eduardo Najera,Jarvis Hayes,Keyon Dooling,Sergio Rodriguez
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy
Brandon Rush,Jarrett Jack,Roy Hibbert,T.J. Ford,Sebastian Telfair
Brandon Rush,Danny Granger,Jarrett Jack,Roy Hibbert,Troy Murphy
Brandon Rush,Danny Granger,Jarrett Jack,Roy Hibbert,Troy Murphy
Brandon Rush,Danny Granger,Jarrett Jack,Roy Hibbert,Troy Murphy
Brandon Rush,Danny Granger,Jarrett Jack,Jeff Foster,Stephen Jackson
Brandon Rush,Danny Granger,Jeff Foster,Marquis Daniels,Ronald Murray
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Brandon Rush,Jeff Foster,Marquis Daniels,T.J. Ford,Stephen Jackson
Brandon Rush,Danny Granger,Maceo Baston,Marquis Daniels,Stephen Jackson
Brandon Rush,Danny Granger,Maceo Baston,Marquis Daniels,Stephen Jackson
Brandon Rush,Danny Granger,Maceo Baston,Marquis Daniels,Stephen Jackson
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Danny Granger,Marquis Daniels,Roy Hibbert,T.J. Ford,Troy Murphy
Jarrett Jack,Marquis Daniels,Roy Hibbert,T.J. Ford,Mike James
Brandon Rush,Danny Granger,Jarrett Jack,Marquis Daniels,Troy Murphy
Brandon Rush,Danny Granger,Jarrett Jack,Roy Hibbert,Stephen Jackson
Brandon Rush,Danny Granger,Jarrett Jack,Roy Hibbert,Stephen Jackson
Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy
Jarrett Jack,Jeff Foster,Marquis Daniels,T.J. Ford,Mickael Pietrus
Danny Granger,Jarrett Jack,Jeff Foster,Marquis Daniels,Troy Murphy
Danny Granger,Jarrett Jack,Jeff Foster,Marquis Daniels,Troy Murphy
Aaron Gray,Derrick Rose,Drew Gooden,Kirk Hinrich,Luol Deng
Derrick Rose,Drew Gooden,Joakim Noah,Kirk Hinrich,Luol Deng
Ben Gordon,Derrick Rose,Drew Gooden,Joakim Noah,Luol Deng
Ben Gordon,Derrick Rose,Drew Gooden,Joakim Noah,Luol Deng
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Thabo Sefolosha
Andres Nocioni,Ben Gordon,Derrick Rose,Joakim Noah,Kirk Hinrich
Andres Nocioni,Ben Gordon,Joakim Noah,Kirk Hinrich,Luol Deng
Andres Nocioni,Ben Gordon,Joakim Noah,Kirk Hinrich,Luol Deng
Andres Nocioni,Ben Gordon,Drew Gooden,Kirk Hinrich,Luol Deng
Andres Nocioni,Ben Gordon,Drew Gooden,Kirk Hinrich,Luol Deng
Andres Nocioni,Ben Gordon,Joakim Noah,Kirk Hinrich,Luol Deng
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Thabo Sefolosha
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Thabo Sefolosha
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Thabo Sefolosha
Aaron Gray,Derrick Rose,Drew Gooden,Kirk Hinrich,Larry Hughes
Ben Gordon,Derrick Rose,Drew Gooden,Joakim Noah,Luol Deng
Ben Gordon,Derrick Rose,Drew Gooden,Joakim Noah,Larry Hughes
Ben Gordon,Derrick Rose,Drew Gooden,Joakim Noah,Luol Deng
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Thabo Sefolosha
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Thabo Sefolosha
Andres Nocioni,Ben Gordon,Derrick Rose,Joakim Noah,Kirk Hinrich
Andres Nocioni,Ben Gordon,Derrick Rose,Joakim Noah,Kirk Hinrich
Aaron Gray,Andres Nocioni,Derrick Rose,Thabo Sefolosha,Tyrus Thomas
Aaron Gray,Andres Nocioni,Cedric Simmons,Demetris Nichols,Jason Terry
